
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0001                          R25                              128   1      1   1   1 1           1 0 XSIG050263          (2992-116-13)
00-0001                          R25                              128   1      2   1   1 2           2 0 XSIG050259          (2992-112-13)
00-0001                          R26                              127   1      1   1   1 1           1 0 XSIG050264          (2992-117-13)
00-0001                          R26                              127   1      2   1   1 2           2 0 XSIG050260          (2992-113-13)
00-0001                          R27                              126   1      1   1   1 1           1 0 XSIG050265          (2992-118-13)
00-0001                          R27                              126   1      2   1   1 2           2 0 XSIG050261          (2992-114-13)
00-0001                          R28                              125   1      1   1   1 1           1 0 XSIG050266          (2992-119-13)
00-0001                          R28                              125   1      2   1   1 2           2 0 XSIG050262          (2992-115-13)
00-0022                          R18                              115   1      1   1   1 1           1 0 XSIG050176          (2992-95-13)
00-0022                          R18                              115   1      2   1   1 2           2 0 XSIG050175          (2992-94-13)
00-0022                          R19                              116   1      1   1   1 1           1 0 XSIG050177          (2992-96-13)
00-0022                          R19                              116   1      2   1   1 2           2 0 XSIG050178          (2992-97-13)
00-0022                          R20                              114   1      1   1   1 1           1 0 XSIG050179          (2992-98-13)
00-0022                          R20                              114   1      2   1   1 2           2 0 XSIG050180          (2992-99-13)
00-0022                          R21                              118   1      1   1   1 1           1 0 XSIG050181          (2992-100-13)
00-0022                          R21                              118   1      2   1   1 2           2 0 XSIG050182          (2992-101-13)
00-0022                          R22                              117   1      1   1   1 1           1 0 XSIG050183          (2992-102-13)
00-0022                          R22                              117   1      2   1   1 2           2 0 XSIG050184          (2992-103-13)
00-0055                          R1                                56   1      1   1   1 1           1 0 XSIG020041          (2992-64-13)
00-0055                          R1                                56   1      2   1   1 2           2 0 XSIG020039          (2992-62-13)
00-0055                          R2                                55   1      1   1   1 1           1 0 XSIG020040          (2992-63-13)
00-0055                          R2                                55   1      2   1   1 2           2 0 XSIG020038          (2992-61-13)
00-0063                          R3                                22   1      1   1   1 1           1 0 XSIG010829          (2992-41-13)
00-0063                          R3                                22   1      2   1   1 2           2 0 XSIG010830          (2992-42-13)
00-0066                          R23                               79   1      1   1   1 1           1 0 XSIG030216          (2992-73-13)
00-0066                          R23                               79   1      2   1   1 2           2 0 XSIG030221          (2992-76-13)
00-0066                          R24                               80   1      1   1   1 1           1 0 XSIG030217          (2992-74-13)
00-0066                          R24                               80   1      2   1   1 2           2 0 XSIG030220          (2992-75-13)
00-0098                          R4                                23   1      1   1   1 1           1 0 VCC                 (2992-14-13)
00-0098                          R4                                23   1      2   1   1 2           2 0 XSIG010834          (2992-44-13)
00-0098                          R5                                26   1      1   1   1 1           1 0 VCC                 (2992-14-13)
00-0098                          R5                                26   1      2   1   1 2           2 0 RESETn              (2992-4-13)
00-0098                          R6                                24   1      1   1   1 1           1 0 XSIG030216          (2992-73-13)
00-0098                          R6                                24   1      2   1   1 2           2 0 GND                 (2992-1-13)
00-0098                          R7                                25   1      1   1   1 1           1 0 XSIG030217          (2992-74-13)
00-0098                          R7                                25   1      2   1   1 2           2 0 GND                 (2992-1-13)
03-0013                          R8                               106   1      1   1   1 1           1 0 XSIG050192          (2992-105-13)
03-0013                          R8                               106   1      2   1   1 2           2 0 XSIG050085          (2992-82-13)
03-0013                          R9                               107   1      1   1   1 1           1 0 XSIG050191          (2992-104-13)
03-0013                          R9                               107   1      2   1   1 2           2 0 XSIG050086          (2992-83-13)
03-0013                          R10                              109   1      1   1   1 1           1 0 XSIG050196          (2992-107-13)
03-0013                          R10                              109   1      2   1   1 2           2 0 XSIG050138          (2992-84-13)
03-0013                          R11                              108   1      1   1   1 1           1 0 XSIG050195          (2992-106-13)
03-0013                          R11                              108   1      2   1   1 2           2 0 XSIG050139          (2992-85-13)
03-0013                          R12                              105   1      1   1   1 1           1 0 XSIG050199          (2992-109-13)
03-0013                          R12                              105   1      2   1   1 2           2 0 XSIG050149          (2992-86-13)
03-0013                          R13                              104   1      1   1   1 1           1 0 XSIG050198          (2992-108-13)
03-0013                          R13                              104   1      2   1   1 2           2 0 XSIG050150          (2992-87-13)
03-0013                          R14                              113   1      1   1   1 1           1 0 XSIG050201          (2992-111-13)
03-0013                          R14                              113   1      2   1   1 2           2 0 XSIG050160          (2992-88-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
03-0013                          R15                              112   1      1   1   1 1           1 0 XSIG050200          (2992-110-13)
03-0013                          R15                              112   1      2   1   1 2           2 0 XSIG050161          (2992-89-13)
03-0013                          R16                              110   1      1   1   1 1           1 0 XSIG050173          (2992-92-13)
03-0013                          R16                              110   1      2   1   1 2           2 0 XSIG050171          (2992-90-13)
03-0013                          R17                              111   1      1   1   1 1           1 0 XSIG050174          (2992-93-13)
03-0013                          R17                              111   1      2   1   1 2           2 0 XSIG050172          (2992-91-13)
10-0031                          C22                               21   1      1   1   1 1           1 0 GND                 (2992-1-13)
10-0031                          C22                               21   1      2   1   1 2           2 0 XSIG010830          (2992-42-13)
10-0031                          C31                               20   1      1   1   1 1           1 0 GND                 (2992-1-13)
10-0031                          C31                               20   1      2   1   1 2           2 0 XSIG010831          (2992-43-13)
10-0036                          C32                               28   1      1   1   1 1           1 0 VCAP                (2992-40-13)
10-0036                          C32                               28   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0036                          C35                               27   1      1   1   1 1           1 0 VCAP                (2992-40-13)
10-0036                          C35                               27   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0037                          C33                               83   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0037                          C33                               83   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0037                          C34                               82   1      1   1   1 1           1 0 GND                 (2992-1-13)
10-0037                          C34                               82   1      2   1   1 2           2 0 PWR_5V              (2992-81-13)
10-0054                          C23                               62   1      1   1   1 1           1 0 GND                 (2992-1-13)
